# Matter power spectrum P(k) at redshift z=0
# for k=2.08123e-07 to 100.063 h/Mpc,
# number of wavenumbers equal to 1835
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.081229070888e-07       1.135377793495e+00 
       2.102169398064e-07       1.146403101270e+00 
       2.123320416753e-07       1.157535472450e+00 
       2.144684246832e-07       1.168775946693e+00 
       2.166263029507e-07       1.180125573756e+00 
       2.188058927528e-07       1.191585413588e+00 
       2.210074125405e-07       1.203156536432e+00 
       2.232310829628e-07       1.214840022923e+00 
       2.254771268887e-07       1.226636964191e+00 
       2.277457694297e-07       1.238548461960e+00 
       2.300372379622e-07       1.250575628653e+00 
       2.323517621504e-07       1.262719587497e+00 
       2.346895739691e-07       1.274981472623e+00 
       2.370509077273e-07       1.287362429179e+00 
       2.394360000916e-07       1.299863613431e+00 
       2.418450901095e-07       1.312486192871e+00 
       2.442784192339e-07       1.325231346334e+00 
       2.467362313471e-07       1.338100264098e+00 
       2.492187727852e-07       1.351094147999e+00 
       2.517262923627e-07       1.364214211546e+00 
       2.542590413977e-07       1.377461680032e+00 
       2.568172737369e-07       1.390837790647e+00 
       2.594012457810e-07       1.404343792594e+00 
       2.620112165105e-07       1.417980947209e+00 
       2.646474475118e-07       1.431750528076e+00 
       2.673102030032e-07       1.445653821146e+00 
       2.699997498612e-07       1.459692124857e+00 
       2.727163576477e-07       1.473866750256e+00 
       2.754602986369e-07       1.488179024333e+00 
       2.782318478422e-07       1.502630204170e+00 
       2.810312830442e-07       1.517221850844e+00 
       2.838588848186e-07       1.531955067213e+00 
       2.867149365637e-07       1.546831415488e+00 
       2.895997245296e-07       1.561852225780e+00 
       2.925135378462e-07       1.577018895122e+00 
       2.954566685528e-07       1.592332844657e+00 
       2.984294116268e-07       1.607795568562e+00 
       3.014320650136e-07       1.623408411756e+00 
       3.044649296564e-07       1.639172820672e+00 
       3.075283095265e-07       1.655090328527e+00 
       3.106225116532e-07       1.671162406063e+00 
       3.137478461554e-07       1.687390558697e+00 
       3.169046262721e-07       1.703776290901e+00 
       3.200931683940e-07       1.720321143306e+00 
       3.233137920950e-07       1.737026643555e+00 
       3.265668201647e-07       1.753894320367e+00 
       3.298525786402e-07       1.770925914213e+00 
       3.331713968391e-07       1.788122780419e+00 
       3.365236073925e-07       1.805486673317e+00 
       3.399095462783e-07       1.823019205880e+00 
       3.433295528547e-07       1.840721987416e+00 
       3.467839698944e-07       1.858596702274e+00 
       3.502731436190e-07       1.876645025440e+00 
       3.537974237335e-07       1.894868553559e+00 
       3.573571634617e-07       1.913269044545e+00 
       3.609527195810e-07       1.931847954272e+00 
       3.645844524589e-07       1.950607826210e+00 
       3.682527260884e-07       1.969549584323e+00 
       3.719579081252e-07       1.988675280074e+00 
       3.757003699238e-07       2.007986699624e+00 
       3.794804865752e-07       2.027485646481e+00 
       3.832986369446e-07       2.047173941665e+00 
       3.871552037090e-07       2.067053423880e+00 
       3.910505733956e-07       2.087125949684e+00 
       3.949851364208e-07       2.107393382885e+00 
       3.989592871291e-07       2.127857637731e+00 
       4.029734238329e-07       2.148520614714e+00 
       4.070279488520e-07       2.169384243565e+00 
       4.111232685542e-07       2.190450472754e+00 
       4.152597933960e-07       2.211721269670e+00 
       4.194379379637e-07       2.233198620807e+00 
       4.236581210151e-07       2.254884531952e+00 
       4.279207655212e-07       2.276781028366e+00 
       4.322262987087e-07       2.298890154978e+00 
       4.365751521029e-07       2.321213980979e+00 
       4.409677615709e-07       2.343754597921e+00 
       4.454045673654e-07       2.366514084666e+00 
       4.498860141686e-07       2.389494553878e+00 
       4.544125511368e-07       2.412698207158e+00 
       4.589846319456e-07       2.436127184037e+00 
       4.636027148352e-07       2.459783672563e+00 
       4.682672626566e-07       2.483669882034e+00 
       4.729787429175e-07       2.507788067856e+00 
       4.777376278296e-07       2.532140425916e+00 
       4.825443943557e-07       2.556729225843e+00 
       4.873995242576e-07       2.581556889585e+00 
       4.923035041443e-07       2.606625602305e+00 
       4.972568255211e-07       2.631937719202e+00 
       5.022599848381e-07       2.657495279266e+00 
       5.073134835409e-07       2.683301698045e+00 
       5.124178281202e-07       2.709358400945e+00 
       5.175735301627e-07       2.735668157094e+00 
       5.227811064026e-07       2.762233398948e+00 
       5.280410787731e-07       2.789056604924e+00 
       5.333539744589e-07       2.816140283551e+00 
       5.387203259490e-07       2.843486964254e+00 
       5.441406710901e-07       2.871099198704e+00 
       5.496155531402e-07       2.898979567823e+00 
       5.551455208236e-07       2.927130673833e+00 
       5.607311283855e-07       2.955555191768e+00 
       5.663729356476e-07       2.984255641901e+00 
       5.720715080643e-07       3.013234985949e+00 
       5.778274167793e-07       3.042495617982e+00 
       5.836412386828e-07       3.072040375818e+00 
       5.895135564697e-07       3.101872001182e+00 
       5.954449586973e-07       3.131993356794e+00 
       6.014360398449e-07       3.162407189375e+00 
       6.074874003732e-07       3.193116338956e+00 
       6.135996467842e-07       3.224123718293e+00 
       6.197733916826e-07       3.255432222290e+00 
       6.260092538366e-07       3.287044696391e+00 
       6.323078582401e-07       3.318964179422e+00 
       6.386698361755e-07       3.351193662527e+00 
       6.450958252769e-07       3.383736082993e+00 
       6.515864695939e-07       3.416594483186e+00 
       6.581424196561e-07       3.449772019078e+00 
       6.647643325386e-07       3.483271703231e+00 
       6.714528719277e-07       3.517096692586e+00 
       6.782087081873e-07       3.551250124077e+00 
       6.850325184260e-07       3.585735231115e+00 
       6.919249865655e-07       3.620555236070e+00 
       6.988868034086e-07       3.655713314840e+00 
       7.059186667085e-07       3.691212861686e+00 
       7.130212812392e-07       3.727057104002e+00 
       7.201953588655e-07       3.763249387631e+00 
       7.274416186148e-07       3.799793187229e+00 
       7.347607867488e-07       3.836691808493e+00 
       7.421535968368e-07       3.873948717125e+00 
       7.496207898287e-07       3.911567488810e+00 
       7.571631141296e-07       3.949551455073e+00 
       7.647813256745e-07       3.987904421300e+00 
       7.724761880046e-07       4.026629781458e+00 
       7.802484723431e-07       4.065731155061e+00 
       7.880989576732e-07       4.105212228816e+00 
       7.960284308156e-07       4.145076612606e+00 
       8.040376865078e-07       4.185328189814e+00 
       8.121275274834e-07       4.225970635574e+00 
       8.202987645529e-07       4.267007747417e+00 
       8.285522166847e-07       4.308443176098e+00 
       8.368887110873e-07       4.350281337889e+00 
       8.453090832920e-07       4.392525592979e+00 
       8.538141772370e-07       4.435180069092e+00 
       8.624048453519e-07       4.478248750324e+00 
       8.710819486426e-07       4.521735657842e+00 
       8.798463567786e-07       4.565644596317e+00 
       8.886989481793e-07       4.609980173427e+00 
       8.976406101021e-07       4.654746523132e+00 
       9.066722387320e-07       4.699947351158e+00 
       9.157947392708e-07       4.745586873549e+00 
       9.250090260280e-07       4.791669839151e+00 
       9.343160225123e-07       4.838200466305e+00 
       9.437166615246e-07       4.885182625716e+00 
       9.532118852509e-07       4.932621274378e+00 
       9.628026453573e-07       4.980520232999e+00 
       9.724899030849e-07       5.028884545628e+00 
       9.822746293463e-07       5.077718618076e+00 
       9.921578048233e-07       5.127026753476e+00 
       1.002140420064e-06       5.176813714391e+00 
       1.012223475585e-06       5.227084256436e+00 
       1.022407981966e-06       5.277842755779e+00 
