# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       9.999999990000e+08       7.470261789201e-16       4.580785353028e-04       2.183031777816e+12       1.418991801242e+04       1.418991801242e-05       1.418991801242e+13       2.644717658518e-04       2.751560535470e+24       2.476759024775e+18       6.638284975877e+18       3.533029674278e-08       1.106141161707e+23       3.333333333333e-01       1.903443976270e+24       4.765627742955e+24       1.332531715398e-13       2.000000000000e+09 
       9.930486583612e+08       7.575211497078e-16       4.612850862031e-04       2.152787283779e+12       1.418991800922e+04       1.428924743561e-05       1.409127905550e+13       2.663230675857e-04       2.675846457849e+24       2.425466845290e+18       6.500810114151e+18       3.533029674278e-08       1.075703722044e+23       3.333333333333e-01       1.851067332868e+24       4.634493089199e+24       1.859045440913e-06       1.433565503291e+02 
       9.861456388589e+08       7.681635642694e-16       4.645140816137e-04       2.122961807753e+12       1.418991800599e+04       1.438927216473e-05       1.399332577156e+13       2.681873284148e-04       2.602215787616e+24       2.375236895778e+18       6.366182273555e+18       3.533029674278e-08       1.046103822620e+23       3.333333333333e-01       1.800131925881e+24       4.506966837177e+24       3.718090736389e-06       7.167827750027e+01 
       9.792906045965e+08       7.789554940409e-16       4.677656797867e-04       2.093549544513e+12       1.418991800274e+04       1.448999706690e-05       1.389605339426e+13       2.700646390527e-04       2.530611196113e+24       2.326047178101e+18       6.234342494004e+18       3.533029674278e-08       1.017318417027e+23       3.333333333333e-01       1.750598097127e+24       4.382949695332e+24       5.577136019859e-06       4.778551875203e+01 
       9.724832220121e+08       7.898990395600e-16       4.710400389740e-04       2.064544769262e+12       1.418991799946e+04       1.459142704335e-05       1.379945719039e+13       2.719550908477e-04       2.460976932184e+24       2.277876149686e+18       6.105233036443e+18       3.533029674278e-08       9.893250930186e+22       3.333333333333e-01       1.702427279691e+24       4.262345104286e+24       7.436181291505e-06       3.583913916619e+01 
       9.657231598628e+08       8.009963308748e-16       4.743373192468e-04       2.035941836514e+12       1.418991799616e+04       1.469356702959e-05       1.370353245964e+13       2.738587757877e-04       2.393258778765e+24       2.230702714096e+18       5.978797357557e+18       3.533029674278e-08       9.621020550638e+22       3.333333333333e-01       1.655581967895e+24       4.145059161666e+24       9.295226551510e-06       2.867131134810e+01 
       9.590100892081e+08       8.122495279583e-16       4.776576806762e-04       2.007735178999e+12       1.418991799284e+04       1.479642199569e-05       1.360827453436e+13       2.757757865044e-04       2.327404010670e+24       2.184506211789e+18       5.854980085009e+18       3.533029674278e-08       9.356281073728e+22       3.333333333333e-01       1.610025688096e+24       4.031000548989e+24       1.115427180006e-05       2.389275944246e+01 
       9.523436833941e+08       8.236608211291e-16       4.810012833332e-04       1.979919306578e+12       1.418991798950e+04       1.489999694651e-05       1.351367877937e+13       2.777062162781e-04       2.263361353541e+24       2.139266411067e+18       5.733726993190e+18       3.533029674278e-08       9.098826373958e+22       3.333333333333e-01       1.565722970287e+24       3.920080460560e+24       1.301331703735e-05       2.047950806874e+01 
       9.457236180375e+08       8.352324314774e-16       4.843682927458e-04       1.952488805175e+12       1.418991798613e+04       1.500429692194e-05       1.341974059169e+13       2.796501590419e-04       2.201080943924e+24       2.094963499219e+18       5.614984979469e+18       3.533029674278e-08       8.848455997741e+22       3.333333333333e-01       1.522639320483e+24       3.812212534333e+24       1.487236226357e-05       1.791956953207e+01 
       9.391495710102e+08       8.469666112977e-16       4.877588708041e-04       1.925438335721e+12       1.418991798274e+04       1.510932699716e-05       1.332645540035e+13       2.816077093864e-04       2.140514290449e+24       2.051578073846e+18       5.498702040940e+18       3.533029674278e-08       8.604975007326e+22       3.333333333333e-01       1.480741193862e+24       3.707312784664e+24       1.673140747892e-05       1.592850622239e+01 
       9.326212224230e+08       8.588656445265e-16       4.911731830362e-04       1.898762633118e+12       1.418991797933e+04       1.521509228285e-05       1.323381866615e+13       2.835789625645e-04       2.081614236069e+24       2.009091134357e+18       5.384827251645e+18       3.533029674278e-08       8.368193829021e+22       3.333333333333e-01       1.439995968646e+24       3.605299536923e+24       1.859045268359e-05       1.433565557284e+01 
       9.261382546104e+08       8.709318471878e-16       4.946113949700e-04       1.872456505210e+12       1.418991797589e+04       1.532159792550e-05       1.314182588145e+13       2.855640144957e-04       2.024334921348e+24       1.967484073654e+18       5.273310740272e+18       3.533029674278e-08       8.137928105589e+22       3.333333333333e-01       1.400371920706e+24       3.506093363904e+24       2.044949787780e-05       1.303241413140e+01 
       9.197003521153e+08       8.831675678431e-16       4.980736739526e-04       1.846514831779e+12       1.418991797243e+04       1.542884910761e-05       1.305047256992e+13       2.875629617711e-04       1.968631748756e+24       1.926738669980e+18       5.164103668313e+18       3.533029674278e-08       7.913998552712e+22       3.333333333333e-01       1.361838198855e+24       3.409617023980e+24       2.230854306175e-05       1.194637959647e+01 
       9.133072016734e+08       8.955751880488e-16       5.015601891500e-04       1.820932563541e+12       1.418991796894e+04       1.553685104793e-05       1.295975428638e+13       2.895759016577e-04       1.914461347941e+24       1.886837078940e+18       5.057158208677e+18       3.533029674278e-08       7.696230819400e+22       3.333333333333e-01       1.324364800834e+24       3.315795400964e+24       2.416758823564e-05       1.102742729763e+01 
       9.069584921977e+08       9.081571228198e-16       5.050711115473e-04       1.795704721167e+12       1.418991796543e+04       1.564560900180e-05       1.286966661653e+13       2.916029321036e-04       1.861781541963e+24       1.847761825686e+18       4.952427524742e+18       3.533029674278e-08       7.484455352236e+22       3.333333333333e-01       1.287922549948e+24       3.224555445623e+24       2.602663339970e-05       1.023975389875e+01 
       9.006539147641e+08       9.209158210995e-16       5.086066084914e-04       1.770826394316e+12       1.418991796190e+04       1.575512826129e-05       1.278020517675e+13       2.936441517424e-04       1.810551314457e+24       1.809495797262e+18       4.849865749845e+18       3.533029674278e-08       7.278507263370e+22       3.333333333333e-01       1.252483072353e+24       3.135826118805e+24       2.788567855414e-05       9.557103619997e+00 
       8.943931625957e+08       9.338537662366e-16       5.121668546053e-04       1.746292740673e+12       1.418991795834e+04       1.586541415555e-05       1.269136561392e+13       2.956996598982e-04       1.760730777696e+24       1.772022235112e+18       4.749427967193e+18       3.533029674278e-08       7.078226202133e+22       3.333333333333e-01       1.218018774959e+24       3.049538336126e+24       2.974472369918e-05       8.959784626437e+00 
       8.881759310481e+08       9.469734764680e-16       5.157520208741e-04       1.722098985012e+12       1.418991795475e+04       1.597647205102e-05       1.260314360515e+13       2.977695565904e-04       1.712281141533e+24       1.735324727740e+18       4.651070190193e+18       3.533029674278e-08       6.883456230189e+22       3.333333333333e-01       1.184502823949e+24       2.965624914179e+24       3.160376883504e-05       8.432738456056e+00 
       8.820019175946e+08       9.602775054096e-16       5.193622855586e-04       1.698240418265e+12       1.418991795114e+04       1.608830735170e-05       1.251553485761e+13       2.998539425382e-04       1.665164683203e+24       1.699387203521e+18       4.554749343188e+18       3.533029674278e-08       6.694045700125e+22       3.333333333333e-01       1.151909123889e+24       2.884020518230e+24       3.346281396196e-05       7.964252971716e+00 
       8.758708218117e+08       9.737684425528e-16       5.229978214629e-04       1.674712396605e+12       1.418991794750e+04       1.620092549944e-05       1.242853510831e+13       3.019529191664e-04       1.619344717949e+24       1.664193923664e+18       4.460423242591e+18       3.533029674278e-08       6.509847137373e+22       3.333333333333e-01       1.120212297404e+24       2.804661611343e+24       3.532185908016e-05       7.545081749351e+00 
